CF,xc,yc,tc,projected_area,xwidth,ywidth,height,volume,duration,total_intensity,mean_intensity,max_intensity,xmax,ymax,tmax,variance,xbary,ybary,tbary,barintensity,relative_variance,x_image,y_image,lon_carrington,lat_carrington,corrcoeff,LOSdist,x_shift,y_shift,major_axis,minor_axis,angle
50,102.5,89.5,86.0,27,5,7,nan,220,26,70371,319.8681818181818,416,103,88,79,505.627067120667,102,89,86,383,1.6091004186634692,627.6060681755416,687.8021652464146,151.24096385542168,16.883534136546185,nan,nan,nan,nan,5.203549084703927,3.076923076923077,0.0
51,131.5,80.5,204.5,20,5,5,nan,93,11,31559,339.3440860215054,456,131,81,205,527.7387533957725,131,80,204,374,1.601497107503207,654.5239368908487,680.5796200405013,151.57831325301206,16.813253012048193,nan,nan,nan,nan,5.449353665897314,3.145851452097728,0.12498931073041128
52,147.5,105.5,350.5,39,5,13,nan,174,15,64251,369.2586206896552,516,147,102,349,563.7968813488363,147,104,351,437,1.579340079704633,669.4832489951802,698.2180996754284,151.7710843373494,17.02409638554217,nan,nan,nan,nan,13.192427340970786,3.917689447272786,0.09557243761642949
53,25.5,89.0,22.0,31,7,8,nan,322,26,97257,302.04037267080747,458,26,88,14,467.321058211646,26,87,21,383,1.5748219984320355,553.5979240403865,691.0206901329203,150.3132530120482,16.883534136546185,nan,nan,nan,nan,6.81236806991547,3.3645261689760355,0.6840782711593653
54,133.5,92.5,255.5,28,9,5,nan,154,13,53284,346.0,482,134,91,249,528.1896221054368,133,92,254,412,1.564510608780454,657.2406903775413,689.1632418504589,151.6144578313253,16.913654618473895,nan,nan,nan,nan,9.205810688470773,2.62860405221633,-1.274110275080964
55,54.5,89.5,95.5,34,7,9,nan,306,29,107248,350.48366013071893,515,55,90,105,534.769060436565,54,89,97,379,1.5472565735162362,581.4948525116961,691.5296782114336,150.66265060240963,16.903614457831324,nan,nan,nan,nan,7.82708297690326,3.4535609870619517,0.12820492363970687
56,53.0,92.0,70.5,33,6,8,nan,249,21,81411,326.95180722891564,405,52,92,68,495.5557865991076,52,91,70,372,1.539554766381693,578.5866525348267,693.3961487830458,150.6265060240964,16.923694779116467,nan,nan,nan,nan,7.685985073451215,3.855732943888275,-0.3357042378540406
57,146.5,97.0,251.0,11,3,4,nan,28,4,10532,376.14285714285717,477,146,96,249,559.2116919670183,146,96,250,438,1.5246948946417536,668.6284405291715,693.0374938462555,151.75903614457832,16.96385542168675,nan,nan,nan,nan,4.346129984141888,3.067356324605906,-0.2630332094983816
58,148.0,99.0,105.0,17,4,6,nan,83,8,31063,374.2530120481928,474,148,98,104,562.2558374841549,148,99,104,445,1.51443090904653,670.505222990492,694.6986185820974,151.78313253012047,16.983935742971887,nan,nan,nan,nan,5.148879227269528,3.609268690575713,-0.5559328319712483
59,27.0,82.5,101.0,15,4,5,nan,71,12,20675,291.19718309859155,364,27,83,102,426.45293479097245,26,82,100,286,1.503710402935424,554.6109072378908,686.6268949358277,150.32530120481928,16.833333333333332,nan,nan,nan,nan,4.533315962095487,3.0114583009821128,0.7160782948303693
